TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
Z354A_HUMAN.H11MO.0.C,ZNF354A,More than 3 adjacent zinc finger factors,O60765,ChIP-Seq,vertebrates,Homo sapiens
ZBED1_HUMAN.H11MO.0.D,ZBED1,BED zinc finger factors,O96006,HT-SELEX,vertebrates,Homo sapiens
ZBT14_HUMAN.H11MO.0.C,ZBTB14,More than 3 adjacent zinc finger factors,O43829,ChIP-Seq,vertebrates,Homo sapiens
ZBT17_HUMAN.H11MO.0.A,ZBTB17,Factors with multiple dispersed zinc fingers,Q13105,ChIP-Seq,vertebrates,Homo sapiens
ZBT18_HUMAN.H11MO.0.C,ZBTB18,More than 3 adjacent zinc finger factors,Q99592,ChIP-Seq,vertebrates,Homo sapiens
ZBT48_HUMAN.H11MO.0.C,ZBTB48,More than 3 adjacent zinc finger factors,P10074,ChIP-Seq,vertebrates,Homo sapiens
ZBT49_HUMAN.H11MO.0.D,ZBTB49,More than 3 adjacent zinc finger factors,Q6ZSB9,HT-SELEX,vertebrates,Homo sapiens
ZBT7A_HUMAN.H11MO.0.A,ZBTB7A,More than 3 adjacent zinc finger factors,O95365,ChIP-Seq,vertebrates,Homo sapiens
ZBT7B_HUMAN.H11MO.0.D,ZBTB7B,More than 3 adjacent zinc finger factors,O15156,ChIP-Seq,vertebrates,Homo sapiens
ZBTB4_HUMAN.H11MO.0.D,ZBTB4,Factors with multiple dispersed zinc fingers,Q9P1Z0,Integrative,vertebrates,Homo sapiens
ZBTB4_HUMAN.H11MO.1.D,ZBTB4,Factors with multiple dispersed zinc fingers,Q9P1Z0,Integrative,vertebrates,Homo sapiens
ZBTB6_HUMAN.H11MO.0.C,ZBTB6,More than 3 adjacent zinc finger factors,Q15916,ChIP-Seq,vertebrates,Homo sapiens
ZEB1_HUMAN.H11MO.0.A,ZEB1,HD-ZF factors,P37275,ChIP-Seq,vertebrates,Homo sapiens
ZEP1_HUMAN.H11MO.0.D,HIVEP1,Factors with multiple dispersed zinc fingers,P15822,Integrative,vertebrates,Homo sapiens
ZEP2_HUMAN.H11MO.0.D,HIVEP2,Factors with multiple dispersed zinc fingers,P31629,Integrative,vertebrates,Homo sapiens
ZF64A_HUMAN.H11MO.0.D,ZFP64,More than 3 adjacent zinc finger factors,Q9NPA5,ChIP-Seq,vertebrates,Homo sapiens
ZFHX3_HUMAN.H11MO.0.D,ZFHX3,HD-ZF factors,Q15911,Integrative,vertebrates,Homo sapiens
ZFP28_HUMAN.H11MO.0.C,ZFP28,More than 3 adjacent zinc finger factors,Q8NHY6,ChIP-Seq,vertebrates,Homo sapiens
ZFP42_HUMAN.H11MO.0.A,ZFP42,More than 3 adjacent zinc finger factors,Q96MM3,ChIP-Seq,vertebrates,Homo sapiens
ZFP82_HUMAN.H11MO.0.C,ZFP82,More than 3 adjacent zinc finger factors,Q8N141,ChIP-Seq,vertebrates,Homo sapiens
ZFX_HUMAN.H11MO.0.A,ZFX,More than 3 adjacent zinc finger factors,P17010,ChIP-Seq,vertebrates,Homo sapiens
ZFX_HUMAN.H11MO.1.A,ZFX,More than 3 adjacent zinc finger factors,P17010,ChIP-Seq,vertebrates,Homo sapiens
ZIC1_HUMAN.H11MO.0.B,ZIC1,More than 3 adjacent zinc finger factors,Q15915,Integrative,vertebrates,Homo sapiens
ZIC2_HUMAN.H11MO.0.D,ZIC2,More than 3 adjacent zinc finger factors,O95409,ChIP-Seq,vertebrates,Homo sapiens
ZIC3_HUMAN.H11MO.0.B,ZIC3,More than 3 adjacent zinc finger factors,O60481,ChIP-Seq,vertebrates,Homo sapiens
ZIC4_HUMAN.H11MO.0.D,ZIC4,More than 3 adjacent zinc finger factors,Q8N9L1,HT-SELEX,vertebrates,Homo sapiens
ZIM3_HUMAN.H11MO.0.C,ZIM3,More than 3 adjacent zinc finger factors,Q96PE6,ChIP-Seq,vertebrates,Homo sapiens
ZKSC1_HUMAN.H11MO.0.B,ZKSCAN1,More than 3 adjacent zinc finger factors,P17029,ChIP-Seq,vertebrates,Homo sapiens
ZKSC3_HUMAN.H11MO.0.D,ZKSCAN3,More than 3 adjacent zinc finger factors,Q9BRR0,HT-SELEX,vertebrates,Homo sapiens
ZN121_HUMAN.H11MO.0.C,ZNF121,More than 3 adjacent zinc finger factors,P58317,ChIP-Seq,vertebrates,Homo sapiens
ZN134_HUMAN.H11MO.0.C,ZNF134,Factors with multiple dispersed zinc fingers,P52741,ChIP-Seq,vertebrates,Homo sapiens
ZN134_HUMAN.H11MO.1.C,ZNF134,Factors with multiple dispersed zinc fingers,P52741,ChIP-Seq,vertebrates,Homo sapiens
ZN136_HUMAN.H11MO.0.C,ZNF136,More than 3 adjacent zinc finger factors,P52737,ChIP-Seq,vertebrates,Homo sapiens
ZN140_HUMAN.H11MO.0.C,ZNF140,More than 3 adjacent zinc finger factors,P52738,ChIP-Seq,vertebrates,Homo sapiens
ZN143_HUMAN.H11MO.0.A,ZNF143,More than 3 adjacent zinc finger factors,P52747,ChIP-Seq,vertebrates,Homo sapiens
ZN148_HUMAN.H11MO.0.D,ZNF148,More than 3 adjacent zinc finger factors,Q9UQR1,Integrative,vertebrates,Homo sapiens
ZN214_HUMAN.H11MO.0.C,ZNF214,More than 3 adjacent zinc finger factors,Q9UL59,ChIP-Seq,vertebrates,Homo sapiens
ZN219_HUMAN.H11MO.0.D,ZNF219,Factors with multiple dispersed zinc fingers,Q9P2Y4,Integrative,vertebrates,Homo sapiens
ZN232_HUMAN.H11MO.0.D,ZNF232,More than 3 adjacent zinc finger factors,Q9UNY5,HT-SELEX,vertebrates,Homo sapiens
ZN250_HUMAN.H11MO.0.C,ZNF250,More than 3 adjacent zinc finger factors,P15622,ChIP-Seq,vertebrates,Homo sapiens
ZN257_HUMAN.H11MO.0.C,ZNF257,More than 3 adjacent zinc finger factors,Q9Y2Q1,ChIP-Seq,vertebrates,Homo sapiens
ZN260_HUMAN.H11MO.0.C,ZNF260,More than 3 adjacent zinc finger factors,Q3ZCT1,ChIP-Seq,vertebrates,Homo sapiens
ZN263_HUMAN.H11MO.0.A,ZNF263,More than 3 adjacent zinc finger factors,O14978,ChIP-Seq,vertebrates,Homo sapiens
ZN263_HUMAN.H11MO.1.A,ZNF263,More than 3 adjacent zinc finger factors,O14978,ChIP-Seq,vertebrates,Homo sapiens
ZN264_HUMAN.H11MO.0.C,ZNF264,More than 3 adjacent zinc finger factors,O43296,ChIP-Seq,vertebrates,Homo sapiens
ZN274_HUMAN.H11MO.0.A,ZNF274,More than 3 adjacent zinc finger factors,Q96GC6,ChIP-Seq,vertebrates,Homo sapiens
ZN281_HUMAN.H11MO.0.A,ZNF281,More than 3 adjacent zinc finger factors,Q9Y2X9,ChIP-Seq,vertebrates,Homo sapiens
ZN282_HUMAN.H11MO.0.D,ZNF282,More than 3 adjacent zinc finger factors,Q9UDV7,HT-SELEX,vertebrates,Homo sapiens
ZN317_HUMAN.H11MO.0.C,ZNF317,More than 3 adjacent zinc finger factors,Q96PQ6,ChIP-Seq,vertebrates,Homo sapiens
ZN320_HUMAN.H11MO.0.C,ZNF320,More than 3 adjacent zinc finger factors,A2RRD8,ChIP-Seq,vertebrates,Homo sapiens
ZN322_HUMAN.H11MO.0.B,ZNF322,More than 3 adjacent zinc finger factors,Q6U7Q0,ChIP-Seq,vertebrates,Homo sapiens
ZN329_HUMAN.H11MO.0.C,ZNF329,More than 3 adjacent zinc finger factors,Q86UD4,ChIP-Seq,vertebrates,Homo sapiens
ZN331_HUMAN.H11MO.0.C,ZNF331,More than 3 adjacent zinc finger factors,Q9NQX6,ChIP-Seq,vertebrates,Homo sapiens
ZN333_HUMAN.H11MO.0.D,ZNF333,More than 3 adjacent zinc finger factors,Q96JL9,Integrative,vertebrates,Homo sapiens
ZN335_HUMAN.H11MO.0.A,ZNF335,Factors with multiple dispersed zinc fingers,Q9H4Z2,ChIP-Seq,vertebrates,Homo sapiens
ZN335_HUMAN.H11MO.1.A,ZNF335,Factors with multiple dispersed zinc fingers,Q9H4Z2,ChIP-Seq,vertebrates,Homo sapiens
ZN341_HUMAN.H11MO.0.C,ZNF341,Factors with multiple dispersed zinc fingers,Q9BYN7,ChIP-Seq,vertebrates,Homo sapiens
ZN341_HUMAN.H11MO.1.C,ZNF341,Factors with multiple dispersed zinc fingers,Q9BYN7,ChIP-Seq,vertebrates,Homo sapiens
ZN350_HUMAN.H11MO.0.C,ZNF350,More than 3 adjacent zinc finger factors,Q9GZX5,ChIP-Seq,vertebrates,Homo sapiens
ZN350_HUMAN.H11MO.1.D,ZNF350,More than 3 adjacent zinc finger factors,Q9GZX5,Integrative,vertebrates,Homo sapiens
ZN382_HUMAN.H11MO.0.C,ZNF382,Factors with multiple dispersed zinc fingers,Q96SR6,ChIP-Seq,vertebrates,Homo sapiens
ZN384_HUMAN.H11MO.0.C,ZNF384,More than 3 adjacent zinc finger factors,Q8TF68,Integrative,vertebrates,Homo sapiens
ZN394_HUMAN.H11MO.0.C,ZNF394,More than 3 adjacent zinc finger factors,Q53GI3,ChIP-Seq,vertebrates,Homo sapiens
ZN394_HUMAN.H11MO.1.D,ZNF394,More than 3 adjacent zinc finger factors,Q53GI3,ChIP-Seq,vertebrates,Homo sapiens
ZN410_HUMAN.H11MO.0.D,ZNF410,More than 3 adjacent zinc finger factors,Q86VK4,HT-SELEX,vertebrates,Homo sapiens
ZN418_HUMAN.H11MO.0.C,ZNF418,Factors with multiple dispersed zinc fingers,Q8TF45,ChIP-Seq,vertebrates,Homo sapiens
ZN418_HUMAN.H11MO.1.D,ZNF418,Factors with multiple dispersed zinc fingers,Q8TF45,ChIP-Seq,vertebrates,Homo sapiens
ZN423_HUMAN.H11MO.0.D,ZNF423,Factors with multiple dispersed zinc fingers,Q2M1K9,Integrative,vertebrates,Homo sapiens
ZN436_HUMAN.H11MO.0.C,ZNF436,More than 3 adjacent zinc finger factors,Q9C0F3,ChIP-Seq,vertebrates,Homo sapiens
ZN449_HUMAN.H11MO.0.C,ZNF449,More than 3 adjacent zinc finger factors,Q6P9G9,ChIP-Seq,vertebrates,Homo sapiens
ZN467_HUMAN.H11MO.0.C,ZNF467,Factors with multiple dispersed zinc fingers,Q7Z7K2,ChIP-Seq,vertebrates,Homo sapiens
ZN490_HUMAN.H11MO.0.C,ZNF490,More than 3 adjacent zinc finger factors,Q9ULM2,ChIP-Seq,vertebrates,Homo sapiens
ZN502_HUMAN.H11MO.0.C,ZNF502,More than 3 adjacent zinc finger factors,Q8TBZ5,ChIP-Seq,vertebrates,Homo sapiens
ZN524_HUMAN.H11MO.0.D,ZNF524,More than 3 adjacent zinc finger factors,Q96C55,HT-SELEX,vertebrates,Homo sapiens
ZN528_HUMAN.H11MO.0.C,ZNF528,More than 3 adjacent zinc finger factors,Q3MIS6,ChIP-Seq,vertebrates,Homo sapiens
ZN547_HUMAN.H11MO.0.C,ZNF547,More than 3 adjacent zinc finger factors,Q8IVP9,ChIP-Seq,vertebrates,Homo sapiens
ZN549_HUMAN.H11MO.0.C,ZNF549,More than 3 adjacent zinc finger factors,Q6P9A3,ChIP-Seq,vertebrates,Homo sapiens
ZN554_HUMAN.H11MO.0.C,ZNF554,More than 3 adjacent zinc finger factors,Q86TJ5,ChIP-Seq,vertebrates,Homo sapiens
ZN554_HUMAN.H11MO.1.D,ZNF554,More than 3 adjacent zinc finger factors,Q86TJ5,ChIP-Seq,vertebrates,Homo sapiens
ZN563_HUMAN.H11MO.0.C,ZNF563,More than 3 adjacent zinc finger factors,Q8TA94,ChIP-Seq,vertebrates,Homo sapiens
ZN563_HUMAN.H11MO.1.C,ZNF563,More than 3 adjacent zinc finger factors,Q8TA94,ChIP-Seq,vertebrates,Homo sapiens
ZN582_HUMAN.H11MO.0.C,ZNF582,More than 3 adjacent zinc finger factors,Q96NG8,ChIP-Seq,vertebrates,Homo sapiens
ZN586_HUMAN.H11MO.0.C,ZNF586,More than 3 adjacent zinc finger factors,Q9NXT0,ChIP-Seq,vertebrates,Homo sapiens
ZN589_HUMAN.H11MO.0.D,ZNF589,More than 3 adjacent zinc finger factors,Q86UQ0,Integrative,vertebrates,Homo sapiens
ZN652_HUMAN.H11MO.0.D,ZNF652,More than 3 adjacent zinc finger factors,Q9Y2D9,HT-SELEX,vertebrates,Homo sapiens
ZN667_HUMAN.H11MO.0.C,ZNF667,More than 3 adjacent zinc finger factors,Q5HYK9,ChIP-Seq,vertebrates,Homo sapiens
ZN680_HUMAN.H11MO.0.C,ZNF680,More than 3 adjacent zinc finger factors,Q8NEM1,ChIP-Seq,vertebrates,Homo sapiens
ZN708_HUMAN.H11MO.0.C,ZNF708,More than 3 adjacent zinc finger factors,P17019,ChIP-Seq,vertebrates,Homo sapiens
ZN708_HUMAN.H11MO.1.D,ZNF708,More than 3 adjacent zinc finger factors,P17019,ChIP-Seq,vertebrates,Homo sapiens
ZN713_HUMAN.H11MO.0.D,ZNF713,More than 3 adjacent zinc finger factors,Q8N859,HT-SELEX,vertebrates,Homo sapiens
ZN740_HUMAN.H11MO.0.D,ZNF740,Other factors with up to three adjacent zinc fingers,Q8NDX6,HT-SELEX,vertebrates,Homo sapiens
ZN768_HUMAN.H11MO.0.C,ZNF768,More than 3 adjacent zinc finger factors,Q9H5H4,ChIP-Seq,vertebrates,Homo sapiens
ZN770_HUMAN.H11MO.0.C,ZNF770,Factors with multiple dispersed zinc fingers,Q6IQ21,ChIP-Seq,vertebrates,Homo sapiens
ZN770_HUMAN.H11MO.1.C,ZNF770,Factors with multiple dispersed zinc fingers,Q6IQ21,ChIP-Seq,vertebrates,Homo sapiens
ZN784_HUMAN.H11MO.0.D,ZNF784,Factors with multiple dispersed zinc fingers,Q8NCA9,HT-SELEX,vertebrates,Homo sapiens
ZN816_HUMAN.H11MO.0.C,ZNF816,More than 3 adjacent zinc finger factors,Q0VGE8,ChIP-Seq,vertebrates,Homo sapiens
ZN816_HUMAN.H11MO.1.C,ZNF816,More than 3 adjacent zinc finger factors,Q0VGE8,ChIP-Seq,vertebrates,Homo sapiens
ZNF18_HUMAN.H11MO.0.C,ZNF18,More than 3 adjacent zinc finger factors,P17022,ChIP-Seq,vertebrates,Homo sapiens
ZNF41_HUMAN.H11MO.0.C,ZNF41,More than 3 adjacent zinc finger factors,P51814,ChIP-Seq,vertebrates,Homo sapiens
ZNF41_HUMAN.H11MO.1.C,ZNF41,More than 3 adjacent zinc finger factors,P51814,ChIP-Seq,vertebrates,Homo sapiens
ZNF76_HUMAN.H11MO.0.C,ZNF76,More than 3 adjacent zinc finger factors,P36508,ChIP-Seq,vertebrates,Homo sapiens
ZNF85_HUMAN.H11MO.0.C,ZNF85,More than 3 adjacent zinc finger factors,Q03923,ChIP-Seq,vertebrates,Homo sapiens
ZNF85_HUMAN.H11MO.1.C,ZNF85,More than 3 adjacent zinc finger factors,Q03923,ChIP-Seq,vertebrates,Homo sapiens
ZNF8_HUMAN.H11MO.0.C,ZNF8,Factors with multiple dispersed zinc fingers,P17098,ChIP-Seq,vertebrates,Homo sapiens
ZSC16_HUMAN.H11MO.0.D,ZSCAN16,More than 3 adjacent zinc finger factors,Q9H4T2,HT-SELEX,vertebrates,Homo sapiens
ZSC22_HUMAN.H11MO.0.C,ZSCAN22,More than 3 adjacent zinc finger factors,P10073,ChIP-Seq,vertebrates,Homo sapiens
ZSC31_HUMAN.H11MO.0.C,ZSCAN31,More than 3 adjacent zinc finger factors,Q96LW9,ChIP-Seq,vertebrates,Homo sapiens
ZSCA4_HUMAN.H11MO.0.D,ZSCAN4,More than 3 adjacent zinc finger factors,Q8NAM6,HT-SELEX,vertebrates,Homo sapiens
AHR_MOUSE.H11MO.0.B,Ahr,PAS domain factors,P30561,Integrative,vertebrates,Mus musculus
AIRE_MOUSE.H11MO.0.C,Aire,AIRE,Q9Z0E3,Integrative,vertebrates,Mus musculus
ALX1_MOUSE.H11MO.0.B,Alx1,Paired-related HD factors,Q8C8B0,Integrative,vertebrates,Mus musculus
ANDR_MOUSE.H11MO.0.A,Ar,Steroid hormone receptors (NR3),P19091,ChIP-Seq,vertebrates,Mus musculus
ANDR_MOUSE.H11MO.1.A,Ar,Steroid hormone receptors (NR3),P19091,ChIP-Seq,vertebrates,Mus musculus
AP2A_MOUSE.H11MO.0.A,Tfap2a,AP-2,P34056,ChIP-Seq,vertebrates,Mus musculus
AP2B_MOUSE.H11MO.0.B,Tfap2b,AP-2,Q61313,Integrative,vertebrates,Mus musculus
AP2C_MOUSE.H11MO.0.A,Tfap2c,AP-2,Q61312,ChIP-Seq,vertebrates,Mus musculus
AP2D_MOUSE.H11MO.0.D,Tfap2d,AP-2,Q91ZK0,Integrative,vertebrates,Mus musculus
ARI3A_MOUSE.H11MO.0.D,Arid3a,ARID-related factors,Q62431,Integrative,vertebrates,Mus musculus
ARI5B_MOUSE.H11MO.0.C,Arid5b,ARID-related factors,Q8BM75,Integrative,vertebrates,Mus musculus
ARNT2_MOUSE.H11MO.0.D,Arnt2,PAS domain factors,Q61324,Integrative,vertebrates,Mus musculus
ARNT_MOUSE.H11MO.0.B,Arnt,PAS domain factors,P53762,Integrative,vertebrates,Mus musculus
ASCL1_MOUSE.H11MO.0.A,Ascl1,MyoD / ASC-related factors,Q02067,ChIP-Seq,vertebrates,Mus musculus
ASCL2_MOUSE.H11MO.0.C,Ascl2,MyoD / ASC-related factors,O35885,ChIP-Seq,vertebrates,Mus musculus
ATF1_MOUSE.H11MO.0.B,Atf1,CREB-related factors,P81269,Integrative,vertebrates,Mus musculus
ATF2_MOUSE.H11MO.0.A,Atf2,Jun-related factors,P16951,ChIP-Seq,vertebrates,Mus musculus
ATF3_MOUSE.H11MO.0.A,Atf3,Fos-related factors,Q60765,ChIP-Seq,vertebrates,Mus musculus
ATF4_MOUSE.H11MO.0.A,Atf4,ATF-4-related factors,Q06507,ChIP-Seq,vertebrates,Mus musculus
ATF7_MOUSE.H11MO.0.D,Atf7,Jun-related factors,Q8R0S1,ChIP-Seq,vertebrates,Mus musculus
ATOH1_MOUSE.H11MO.0.B,Atoh1,Tal-related factors,P48985,ChIP-Seq,vertebrates,Mus musculus
BACH1_MOUSE.H11MO.0.C,Bach1,Jun-related factors,P97302,Integrative,vertebrates,Mus musculus
BACH2_MOUSE.H11MO.0.A,Bach2,Jun-related factors,P97303,ChIP-Seq,vertebrates,Mus musculus
BARX1_MOUSE.H11MO.0.C,Barx1,NK-related factors,Q9ER42,ChIP-Seq,vertebrates,Mus musculus
BARX2_MOUSE.H11MO.0.D,Barx2,NK-related factors,O08686,Integrative,vertebrates,Mus musculus
BATF3_MOUSE.H11MO.0.A,Batf3,B-ATF-related factors,Q9D275,ChIP-Seq,vertebrates,Mus musculus
BATF_MOUSE.H11MO.0.A,Batf,B-ATF-related factors,O35284,ChIP-Seq,vertebrates,Mus musculus
BATF_MOUSE.H11MO.1.A,Batf,B-ATF-related factors,O35284,ChIP-Seq,vertebrates,Mus musculus
BCL6_MOUSE.H11MO.0.A,Bcl6,More than 3 adjacent zinc finger factors,P41183,ChIP-Seq,vertebrates,Mus musculus
BHA15_MOUSE.H11MO.0.A,Bhlha15,Tal-related factors,Q9QYC3,ChIP-Seq,vertebrates,Mus musculus
BHE40_MOUSE.H11MO.0.A,Bhlhe40,Hairy-related factors,O35185,ChIP-Seq,vertebrates,Mus musculus
BHE41_MOUSE.H11MO.0.D,Bhlhe41,Hairy-related factors,Q99PV5,Integrative,vertebrates,Mus musculus
BMAL1_MOUSE.H11MO.0.A,Arntl,PAS domain factors,Q9WTL8,ChIP-Seq,vertebrates,Mus musculus
BRAC_MOUSE.H11MO.0.B,T,Brachyury-related factors,P20293,ChIP-Seq,vertebrates,Mus musculus
BRAC_MOUSE.H11MO.1.C,T,Brachyury-related factors,P20293,ChIP-Seq,vertebrates,Mus musculus
BRCA1_MOUSE.H11MO.0.D,Brca1,,P48754,Integrative,vertebrates,Mus musculus
CDC5L_MOUSE.H11MO.0.D,Cdc5l,Myb/SANT domain factors,Q6A068,Integrative,vertebrates,Mus musculus
CDX1_MOUSE.H11MO.0.C,Cdx1,HOX-related factors,P18111,Integrative,vertebrates,Mus musculus
CDX2_MOUSE.H11MO.0.A,Cdx2,HOX-related factors,P43241,ChIP-Seq,vertebrates,Mus musculus
CEBPA_MOUSE.H11MO.0.A,Cebpa,C/EBP-related,P53566,ChIP-Seq,vertebrates,Mus musculus
CEBPB_MOUSE.H11MO.0.A,Cebpb,C/EBP-related,P28033,ChIP-Seq,vertebrates,Mus musculus
CEBPD_MOUSE.H11MO.0.B,Cebpd,C/EBP-related,Q00322,Integrative,vertebrates,Mus musculus
CEBPE_MOUSE.H11MO.0.A,Cebpe,C/EBP-related,Q6PZD9,Integrative,vertebrates,Mus musculus
CEBPG_MOUSE.H11MO.0.B,Cebpg,C/EBP-related,P53568,ChIP-Seq,vertebrates,Mus musculus
CEBPZ_MOUSE.H11MO.0.D,Cebpz,,P53569,Integrative,vertebrates,Mus musculus
CLOCK_MOUSE.H11MO.0.C,Clock,PAS domain factors,O08785,ChIP-Seq,vertebrates,Mus musculus
COE1_MOUSE.H11MO.0.A,Ebf1,Early B-Cell Factor-related factors,Q07802,ChIP-Seq,vertebrates,Mus musculus
COT1_MOUSE.H11MO.0.B,Nr2f1,RXR-related receptors (NR2),Q60632,Integrative,vertebrates,Mus musculus
COT1_MOUSE.H11MO.1.C,Nr2f1,RXR-related receptors (NR2),Q60632,Integrative,vertebrates,Mus musculus
COT2_MOUSE.H11MO.0.A,Nr2f2,RXR-related receptors (NR2),P43135,ChIP-Seq,vertebrates,Mus musculus
COT2_MOUSE.H11MO.1.B,Nr2f2,RXR-related receptors (NR2),P43135,Integrative,vertebrates,Mus musculus
COT2_MOUSE.H11MO.2.B,Nr2f2,RXR-related receptors (NR2),P43135,ChIP-Seq,vertebrates,Mus musculus
CREB1_MOUSE.H11MO.0.A,Creb1,CREB-related factors,Q01147,ChIP-Seq,vertebrates,Mus musculus
CREM_MOUSE.H11MO.0.C,Crem,CREB-related factors,P27699,Integrative,vertebrates,Mus musculus
CRX_MOUSE.H11MO.0.A,Crx,Paired-related HD factors,O54751,ChIP-Seq,vertebrates,Mus musculus
CTCFL_MOUSE.H11MO.0.A,Ctcfl,More than 3 adjacent zinc finger factors,A2APF3,ChIP-Seq,vertebrates,Mus musculus
CTCF_MOUSE.H11MO.0.A,Ctcf,More than 3 adjacent zinc finger factors,Q61164,ChIP-Seq,vertebrates,Mus musculus
CUX1_MOUSE.H11MO.0.C,Cux1,HD-CUT factors,P53564,Integrative,vertebrates,Mus musculus
CUX2_MOUSE.H11MO.0.C,Cux2,HD-CUT factors,P70298,ChIP-Seq,vertebrates,Mus musculus
CXXC1_MOUSE.H11MO.0.D,Cxxc1,,Q9CWW7,Integrative,vertebrates,Mus musculus
DBP_MOUSE.H11MO.0.B,Dbp,C/EBP-related,Q60925,Integrative,vertebrates,Mus musculus
DDIT3_MOUSE.H11MO.0.C,Ddit3,C/EBP-related,P35639,ChIP-Seq,vertebrates,Mus musculus
DLX2_MOUSE.H11MO.0.D,Dlx2,NK-related factors,P40764,Integrative,vertebrates,Mus musculus
DLX3_MOUSE.H11MO.0.C,Dlx3,NK-related factors,Q64205,Integrative,vertebrates,Mus musculus
DLX5_MOUSE.H11MO.0.C,Dlx5,NK-related factors,P70396,ChIP-Seq,vertebrates,Mus musculus
DMRT1_MOUSE.H11MO.0.C,Dmrt1,DMRT,Q9QZ59,ChIP-Seq,vertebrates,Mus musculus
DMRTB_MOUSE.H11MO.0.C,Dmrtb1,DMRT,A2A9I7,ChIP-Seq,vertebrates,Mus musculus
E2F1_MOUSE.H11MO.0.A,E2f1,E2F-related factors,Q61501,ChIP-Seq,vertebrates,Mus musculus
E2F2_MOUSE.H11MO.0.B,E2f2,E2F-related factors,P56931,Integrative,vertebrates,Mus musculus
E2F3_MOUSE.H11MO.0.A,E2f3,E2F-related factors,O35261,ChIP-Seq,vertebrates,Mus musculus
E2F4_MOUSE.H11MO.0.A,E2f4,E2F-related factors,Q8R0K9,ChIP-Seq,vertebrates,Mus musculus
E2F4_MOUSE.H11MO.1.A,E2f4,E2F-related factors,Q8R0K9,ChIP-Seq,vertebrates,Mus musculus
E2F5_MOUSE.H11MO.0.B,E2f5,E2F-related factors,Q61502,Integrative,vertebrates,Mus musculus
E2F6_MOUSE.H11MO.0.A,E2f6,E2F-related factors,O54917,Integrative,vertebrates,Mus musculus
E2F7_MOUSE.H11MO.0.C,E2f7,E2F-related factors,Q6S7F2,ChIP-Seq,vertebrates,Mus musculus
E4F1_MOUSE.H11MO.0.D,E4f1,Factors with multiple dispersed zinc fingers,Q8CCE9,Integrative,vertebrates,Mus musculus
EGR1_MOUSE.H11MO.0.A,Egr1,Three-zinc finger Krüppel-related factors,P08046,ChIP-Seq,vertebrates,Mus musculus
EGR2_MOUSE.H11MO.0.A,Egr2,Three-zinc finger Krüppel-related factors,P08152,ChIP-Seq,vertebrates,Mus musculus
EGR2_MOUSE.H11MO.1.A,Egr2,Three-zinc finger Krüppel-related factors,P08152,ChIP-Seq,vertebrates,Mus musculus
EGR3_MOUSE.H11MO.0.D,Egr3,Three-zinc finger Krüppel-related factors,P43300,Integrative,vertebrates,Mus musculus
EGR4_MOUSE.H11MO.0.D,Egr4,Three-zinc finger Krüppel-related factors,Q9WUF2,Integrative,vertebrates,Mus musculus
EHF_MOUSE.H11MO.0.B,Ehf,Ets-related factors,O70273,ChIP-Seq,vertebrates,Mus musculus
ELF1_MOUSE.H11MO.0.A,Elf1,Ets-related factors,Q60775,ChIP-Seq,vertebrates,Mus musculus
ELF2_MOUSE.H11MO.0.C,Elf2,Ets-related factors,Q9JHC9,Integrative,vertebrates,Mus musculus
ELF3_MOUSE.H11MO.0.B,Elf3,Ets-related factors,Q3UPW2,ChIP-Seq,vertebrates,Mus musculus
ELF5_MOUSE.H11MO.0.A,Elf5,Ets-related factors,Q8VDK3,ChIP-Seq,vertebrates,Mus musculus
ELK1_MOUSE.H11MO.0.B,Elk1,Ets-related factors,P41969,ChIP-Seq,vertebrates,Mus musculus
ELK3_MOUSE.H11MO.0.D,Elk3,Ets-related factors,P41971,Integrative,vertebrates,Mus musculus
ELK4_MOUSE.H11MO.0.B,Elk4,Ets-related factors,P41158,ChIP-Seq,vertebrates,Mus musculus
EPAS1_MOUSE.H11MO.0.C,Epas1,PAS domain factors,P97481,ChIP-Seq,vertebrates,Mus musculus
ERG_MOUSE.H11MO.0.A,Erg,Ets-related factors,P81270,ChIP-Seq,vertebrates,Mus musculus
ERR1_MOUSE.H11MO.0.A,Esrra,Steroid hormone receptors (NR3),O08580,ChIP-Seq,vertebrates,Mus musculus
ERR2_MOUSE.H11MO.0.A,Esrrb,Steroid hormone receptors (NR3),Q61539,ChIP-Seq,vertebrates,Mus musculus
ERR3_MOUSE.H11MO.0.C,Esrrg,Steroid hormone receptors (NR3),P62509,ChIP-Seq,vertebrates,Mus musculus
ESR1_MOUSE.H11MO.0.A,Esr1,Steroid hormone receptors (NR3),P19785,ChIP-Seq,vertebrates,Mus musculus
ESR1_MOUSE.H11MO.1.A,Esr1,Steroid hormone receptors (NR3),P19785,ChIP-Seq,vertebrates,Mus musculus
ESR2_MOUSE.H11MO.0.A,Esr2,Steroid hormone receptors (NR3),O08537,ChIP-Seq,vertebrates,Mus musculus
ESR2_MOUSE.H11MO.1.A,Esr2,Steroid hormone receptors (NR3),O08537,ChIP-Seq,vertebrates,Mus musculus
ETS1_MOUSE.H11MO.0.A,Ets1,Ets-related factors,P27577,ChIP-Seq,vertebrates,Mus musculus
ETS2_MOUSE.H11MO.0.A,Ets2,,P15037,ChIP-Seq,vertebrates,Mus musculus
